timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
5 24 28 0.3942390274784751 0.00576097252152491
13 44 56 0.39663784625388143 0.00336215374611859
13 44 57 0.3928625918753143 0.007137408124685718
14 39 60 0.3946300090105629 0.0053699909894371345
14 56 57 0.3870493555942707 0.012950644405729295
19 68 72 0.39070690478267006 0.00929309521732996
21 56 60 0.39449496094324843 0.005505039056751593
25 11 34 0.39966050846206724 3.39491537932779E-4
25 69 76 0.3960351906960523 0.003964809303947714
27 73 85 0.39791525729765026 0.0020847427023497622
29 81 85 0.3921403285986125 0.007859671401387547
31 12 31 0.391306704100375 0.008693295899625031
32 36 48 0.39869612138189453 0.0013038786181054918
36 19 20 0.39091674748283056 0.00908325251716946
42 33 42 0.3987738759496297 0.0012261240503703141
45 20 42 0.3920231596888558 0.007976840311144207
45 51 64 0.3967596116469395 0.003240388353060508
47 5 12 0.3933942572015169 0.0066057427984831385
57 29 32 0.39950344941313537 4.965505868646525E-4
63 1 55 0.39686919920343494 0.003130800796565081
64 9 32 0.3950137534899891 0.00498624651001095
66 19 70 0.39690838914072113 0.0030916108592788927
66 29 32 0.3944229472047585 0.0055770527952415105
67 19 32 0.39741649280733904 0.002583507192660983
69 34 48 0.39840396165491104 0.0015960383450889792
71 27 48 0.39371710888251543 0.00628289111748459
72 27 48 0.39371710888251543 0.00628289111748459
72 34 53 0.39423931707946747 0.005760682920532556
73 1 27 0.39212881628935975 0.007871183710640273
77 34 51 0.39958033327603315 4.1966672396687166E-4
78 34 51 0.39958033327603315 4.1966672396687166E-4
81 41 45 0.3961558698239506 0.0038441301760493984
83 28 53 0.3981879426438947 0.0018120573561053455
83 41 66 0.392432117572925 0.007567882427075012
84 41 66 0.392432117572925 0.007567882427075012
85 11 66 0.39082240085164677 0.009177599148353255
85 51 64 0.3916768747705915 0.008323125229408534
88 11 66 0.39788183730893156 0.0021181626910684592
101 7 75 0.39390814380582234 0.0060918561941776805
106 11 92 0.3912401925595857 0.008759807440414324
107 58 75 0.3966016701334148 0.0033983298665852257
117 40 85 0.3970610092140564 0.002938990785943618
130 38 59 0.3943219993572426 0.005678000642757419
132 52 67 0.39917170437820754 8.282956217924853E-4
139 52 71 0.39259039726712464 0.007409602732875387
140 52 71 0.39259039726712464 0.007409602732875387
146 69 80 0.39503580007618916 0.004964199923810864
155 60 73 0.39463007875028683 0.005369921249713194
156 60 97 0.39789278910654263 0.0021072108934573897
167 78 83 0.3873753835153976 0.012624616484602447
