timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
18 17 29 0.3934753030101528 0.006524696989847201
30 43 46 0.397462982732839 0.002537017267161046
35 34 35 0.3965820501819909 0.003417949818009136
38 56 58 0.39048463473892026 0.009515365261079767
39 42 45 0.3963268784523837 0.0036731215476163426
49 17 53 0.3986590016186508 0.0013409983813492121
64 61 74 0.39828619910805824 0.0017138008919417858
67 80 85 0.3995150849367936 4.8491506320641475E-4
